"ID","SexEstimate","BirthYear","MumID"
 856, 1, 1994,
 857, 1, 1994,
 858, 0, 1994,
 859, 0, 1994,
 860, 1, 1994,
 861, 0, 1995,
 862, 0, 1994,
 863, 0, 1994,
 864, 1, 1994,
 865, 1, 1994,
 866, 1, 1994,
 867, 1, 1995,
 868, 1, 1995,
 869, 0, 1995, 561
 870, 1, 1995, 2694
 871, 0, 1995,
 872, 0, 1994,
 873, 1, 1994,
 874, 0, 1995, 596
 875, 0, 1995, 207
 876, 0, 1995,
 877, 1, 1994,
 878, 0, 1994,
 879, 1, 1994,
 880, 0, 1995, 443
 881, 1, 1994,
 882,, 1995,
 883,, 1995,
 884, 1, 1995, 469
 885, 0, 1995, 172
 886, 1, 1995,
 887, 1, 1995, 171
 888, 1, 1995,
 889, 1, 1995,
 890, 1, 1995,
 891, 0, 1995, 561
 892, 1, 1995, 627
 893,, 1995,
 894, 1, 1995,
 895,, 1995,
 896,, 1995,
 897,, 1996,
 898,, 1996,
 899,, 1996,
 900,, 1995,
 901,, 1996,
 902,, 1996,
 903,, 1996,
 904,, 1995,
 906,, 1996,
 907,, 1996,
 908, 0, 1995,
 909, 0, 1995,
 910,, 1995,
 911, 1, 1994,
 912, 0, 1994,
 913, 0, 1994,
 914, 0, 1994,
 915, 0, 1994,
 916, 1, 1994,
 917, 1, 1994,
 918, 0, 1994,
 919, 0, 1994,
 920, 1, 1994,
 921, 1, 1994,
 922, 1, 1994,
 923, 0, 1994,
 924, 0, 1994,
 925, 0, 1994,
 926, 1, 1994,
 927, 0, 1994,
 928, 1, 1994,
 929, 1, 1994,
 930, 0, 1994,
 931, 0, 1994,
 932, 0, 1994,
 933, 1, 1994,
 934, 0, 1994,
 935, 1, 1994,
 936, 0, 1995,
 937, 0, 1994,
 938, 0, 1994,
 939, 1, 1994,
 940, 0, 1994,
 941, 1, 1994,
 942, 0, 1994,
 943, 1, 1995, 464
 944, 1, 1995, 524
 945, 0, 1995,
 946, 1, 1995, 168
 947, 1, 1994,
 948, 0, 1995, 500
 949, 0, 1995, 524
 950, 0, 1995,
 951, 0, 1995,
 952,, 1995,
 953,, 1995,
 954,, 1995,
 955,, 1995,
 956,, 1995,
 957,, 1995,
 958,, 1995,
 959, 0, 1995,
 960,, 1995,
 961, 1, 1995,
 962, 0, 1995,
 963,, 1996,
 964,, 1996,
 965,, 1996,
 966,, 1996,
 967,, 1995,
 968,, 1995,
 969,, 1995,
 970,, 1995,
 971,, 1995,
 972,, 1995,
 973,, 1996,
 974,, 1996,
 975,, 1995,
 976, 0, 1996,
 977, 0, 1996,
 978,, 1995,
 979,, 1996,
 980, 0, 1995,
 981, 0, 1995,
 982, 0, 1996,
 983,, 1996,
 984, 0, 1996,
 985,, 1995,
 986,, 1995,
 987,, 1995,
 988,, 1995,
 989, 1, 1995,
 990,, 1995,
 991,, 1995,
 992, 1, 1996,
 993,, 1996,
 994,, 1995,
 995,, 1995,
 996,, 1995,
 997,, 1995,
 998,, 1996,
 999,, 1996,
 1000,, 1995,
 1001,, 1996,
 1002, 0, 1996,
 1003,, 1995,
 1004, 0, 1994,
 1005,, 1995,
 1006, 0, 1994,
 1007,, 1994,
 1008, 1, 1995,
 1009, 0, 1994,
 1010, 0, 1994,
 1011, 0, 1995,
 1012, 1, 1996,
 1013, 0, 1994,
 1014, 1, 1994,
 1015, 1, 1995,
 1016, 1, 1996, 823
 1017, 0, 1992,
 1018, 1, 1995,
 1019, 0, 1995,
 1020, 1, 1995,
 1021, 0, 1995,
 1022, 0, 1995,
 1023, 1, 1995,
 1024, 0, 1995,
 1025, 1, 1995,
 1026, 0, 1996,
 1027, 1, 1995,
 1028, 1, 1995,
 1029, 1, 1996, 217
 1030, 1, 1996,
 1031, 1, 1996,
 1032, 1, 1996, 827
 1033, 0, 1996, 329
 1034, 1, 1996, 912
 1035, 1, 1995,
 1036, 0, 1995,
 1037, 1, 1995,
 1038, 0, 1996,
 1039, 1, 1995,
 1040, 1, 1995,
 1041, 1, 1995,
 1042, 0, 1996, 1043
 1043, 0, 1995,
 1044, 0, 1996, 524
 1045, 1, 1996,
 1046, 0, 1996, 1017
 1047, 1, 1996, 628
 1048, 0, 1996, 444
 1049, 0, 1996,
 1050, 0, 1996, 853
 1051, 0, 1996, 858
 1052, 0, 1996,
 1053, 1, 1996, 199
 1054, 0, 1996, 458
 1055, 0, 1995,
 1056, 1, 1996,
 1057, 1, 1996,
 1058, 0, 1996, 207
 1059, 0, 1996, 872
 1060, 0, 1996,
 1061, 1, 1996, 595
 1062, 1, 1996,
 1063, 1, 1996, 64
 1064, 0, 1995,
 1065, 1, 1995,
 1066,, 1996,
 1067, 0, 1995,
 1068, 1, 1995,
 1069,, 1996,
 1070,, 1995,
 1071, 0, 1995,
 1072, 0, 1995,
 1073, 1, 1995,
 1074, 1, 1996,
 1075, 1, 1995,
 1076,, 1996,
 1077,, 1996,
 1078, 1, 1996,
 1079, 1, 1995,
 1080, 0, 1995,
 1081, 1, 1995,
 1082, 1, 1995,
 1083, 1, 1995,
 1084,, 1996,
 1085, 1, 1995,
 1086, 0, 1995,
 1087,, 1996,
 1088, 1, 1996,
 1089,, 1996,
 1090, 1, 1995,
 1091,, 1995,
 1092, 0, 1995,
 1093, 0, 1996,
 1094,, 1996, 0
 1095, 0, 1996,
 1096,, 1996,
 1097, 1, 1995,
 1098, 1, 1995,
 1099,, 1996,
 1100,, 1996,
 1101, 0, 1995,
 1102, 0, 1996,
 1103, 1, 1995,
 1104, 0, 1995,
 1105, 0, 1996,
 1106,, 1996,
 1107,, 1996, 782
 1108,, 1996, 646
 1109, 1, 1996, 646
 1110,, 1996,
 1111,, 1997,
 1112,, 1996,
 1113,, 1996,
 1114,, 1996,
 1115,, 1996,
 1116, 0, 1996,
 1117,, 1996,
 1118,, 1996,
 1119,, 1996,
 1120,, 1996,
 1121,, 1996,
 1122,, 1996,
 1123,, 1996,
 1124,, 1996,
 1125,, 1996,
 1126,, 1992,
 1127,, 1996,
 1128,, 1996,
 1129,, 1996,
 1130, 0, 1996,
 1131,, 1996,
 1132,, 1996,
 1133,, 1996,
 1134, 1, 1992,
 1135,, 1996,
 1136,, 1996,
 1137,, 1996,
 1138,, 1996,
 1139,, 1996,
 1140,, 1996,
 1141,, 1996,
 1142, 1, 1992,
 1143,, 1996,
 1144,, 1996,
 1145,, 1996,
 1146, 1, 1996,
 1147,, 1999,
 1151, 1, 1996,
 1152, 0, 1997,
 1153, 1, 1996,
 1154, 1, 1996,
 1155, 0, 1996,
 1156, 1, 1996,
 1157, 1, 1996,
 1158, 0, 1996,
 1159, 1, 1996,
 1160, 0, 1996,
 1161, 0, 1996,
 1162, 1, 1996,
 1163, 1, 1996,
 1164, 1, 1996,
 1165, 1, 1996,
 1166, 1, 1996,
 1167, 1, 1996,
 1168, 1, 1996,
 1169, 1, 1996,
 1170, 0, 1997, 915
 1171, 1, 1996,
 1172, 0, 1996,
 1173, 0, 1996,
 1174, 1, 1996,
 1175, 0, 1996,
 1176, 1, 1996,
 1177, 0, 1996,
 1178, 1, 1996,
 1179, 1, 1997, 329
 1180, 0, 1996,
 1181, 1, 1997, 1182
 1182, 0, 1996,
 1183, 1, 1996,
 1184, 1, 1996,
 1185, 1, 1996,
 1186, 0, 1996,
 1187, 1, 1996,
 1188, 1, 1996,
 1189, 1, 1996,
 1190, 0, 1996,
 1191, 1, 1996,
 1192, 0, 1996,
 1193, 0, 1996,
 1194, 1, 1996,
 1195, 0, 1996,
 1196, 1, 1996,
 1197, 0, 1996,
 1198, 1, 1996,
 1199, 1, 1996,
 1200, 0, 1996,
 1201, 0, 1996,
 1202, 1, 1996,
 1203, 1, 1996,
 1204, 0, 1996,
 1205, 0, 1996,
 1206, 0, 1996,
 1207, 0, 1997, 628
 1208, 0, 1997, 845
 1209, 1, 1997, 458
 1210, 0, 1997,
 1211, 1, 1996,
 1212, 1, 1996,
 1213, 1, 1997, 455
 1214, 1, 1997,
 1215, 1, 1997, 1043
 1216, 0, 1997,
 1217, 1, 1996,
 1218, 0, 1996,
 1219, 0, 1996,
 1220, 1, 1997, 915
 1221, 1, 1997, 3422
 1222, 0, 1997, 927
 1223, 1, 1997, 1043
 1224, 1, 1997,
 1225, 0, 1996,
 1226, 1, 1997, 835
 1227, 0, 1997, 880
 1228, 0, 1997, 455
 1229, 1, 1997, 500
 1230, 0, 1997,
 1231, 0, 1997, 915
 1232, 1, 1997, 169
 1233, 1, 1997, 666
 1234, 1, 1997, 168
 1235, 0, 1996,
 1236, 1, 1997, 912
 1237, 1, 1997, 561
 1238, 1, 1997, 479
 1239, 0, 1997, 199
 1240, 0, 1996,
 1241, 1, 1997, 530
 1242, 1, 1996,
 1243, 1, 1996,
 1244, 0, 1997,
 1245, 1, 1997, 774
 1246, 0, 1997,
 1247, 0, 1997,
 1248, 1, 1997, 912
 1249, 0, 1996,
 1250, 0, 1996,
